Updated_Date,Valve_Type,Valve_Size,Valve_Useage,Cover,Lid_Type,Valve_Cond,Valve_Stat,Valve_Position,Turns,Depth_Nut,Location,Comment,Rotation,POINT_X,POINT_Y
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,34.00000000000,43.00000000000,se swigert,,0,7715301.11570000000,694200.21999000000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,34.00000000000,42.00000000000,se swigert,,0,7715297.89393000000,694198.37189700000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,50.00000000000,se swigert,,0,7714847.80034000000,694210.25671500000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,38.00000000000,se swigert hydrant valve,,90,7714846.11694000000,694207.76623500000
12/1/2011,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,49.00000000000,se swigert,,0,7714348.26295000000,694222.88037800000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,37.00000000000,se swigert,,90,7714346.62844000000,694220.50735100000
4/2/2012,GV,2.00000000000,Blow Off,Grass,910,Good,Working,Closed,8.00000000000,24.00000000000,se swigert,"unable to see from scan, used gps",0,7714027.54771000000,694270.45803800000
4/2/2012,GV,2.00000000000,Blow Off,Grass,910,Good,Working,Closed,8.00000000000,48.00000000000,se swigert,"unable to see from scan, used gps",0,7714041.14644000000,694178.42672600000
12/1/2011,BTRFLY,10.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,54.00000000000,se swigert,,0,7714032.64055000000,694219.67894100000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,53.00000000000,se swigert,,80,7714035.06574000000,694219.38924300000
8/13/2014,BTRFLY,10.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,54.00000000000,se swigert,,0,7714034.64481000000,694216.77081000000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,53.00000000000,se swigert,,80,7714032.31837000000,694217.00079600000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,35.00000000000,59.00000000000,se swigert,,0,7713854.57693000000,694183.07041800000
8/13/2014,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,20.00000000000,46.00000000000,se swigert,,75,7713853.40370000000,694180.13669700000
12/1/2011,OTHER,1.00000000000,Inline,Other,,,,,0.00000000000,0.00000000000,se swigert,air vac/release,0,7713543.05032000000,694133.84709100000
12/6/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,20.00000000000,se pelton ave and se pelton circle,,-20,7720376.93889000000,678841.54828000000
8/13/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.50000000000,20.00000000000,se pelton ave and se pelton circle,,-20,7720428.28163000000,678864.99836400000
8/13/2014,BTRFLY,12.00000000000,Inline,Asphalt,926,Good,Working,Open,33.50000000000,27.00000000000,se sweetbrier ln north of se althaus dr,,270,7720269.95977000000,678329.22318900000
8/13/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,25.00000000000,25.00000000000,se althaus dr se sweetbrier ln,,0,7720277.19565000000,678268.79483200000
12/6/2011,GV,12.00000000000,Inline,Asphalt,926,Good,Working,Closed,0.00000000000,49.00000000000,se se sweetbrier ln se althaus dr,"inoprable, marked closed on map",90,7720270.03457000000,678300.98932100000
12/6/2011,GV,6.00000000000,Hydrant,Asphalt,910,Good,Working,Open,21.00000000000,39.00000000000,se sweetbrier ln and se pelton,,335,7720240.03463000000,678737.48910400000
12/6/2011,BTRFLY,12.00000000000,Inline,Asphalt,910,Good,Working,Open,39.50000000000,30.00000000000,se sweetbrier ln and se pelton,keep this valve,60,7720232.74495000000,678744.69020600000
12/6/2011,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,32.00000000000,3820 se pelton ave,,45,7720629.95380000000,678976.56671000000
12/6/2011,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,27.00000000000,se pelton ave and se 36th circle,check line location,-60,7720888.18261000000,679388.04259300000
8/13/2014,OTHER,12.00000000000,Inline,Asphalt,910,Good,Working,Open,51.00000000000,24.00000000000,se sweetbrier ln,valve size field verified by mcnally,55,7720188.00521000000,678771.19835500000
1/11/2012,GV,4.00000000000,Inline,Asphalt,926,Good,Working,Open,14.50000000000,32.00000000000,se 36th circle and se pelton ave,,30,7720907.59301000000,679395.70990100000
8/13/2014,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,9.00000000000,35.00000000000,se 36th circle,,35,7720992.91961000000,679352.01641900000
4/3/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.50000000000,31.00000000000,se pelton ave and se 36th st,,-60,7720915.33774000000,679441.23015100000
8/13/2014,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.50000000000,37.00000000000,se pelton ave and se 35th circle,,120,7721048.79548000000,679695.74834300000
4/17/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,15.00000000000,se 35th st and se pelton ave,,0,7721096.14906000000,679860.24834200000
4/17/2012,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,16.00000000000,se 35th circle,hydrant valve,45,7721350.00518000000,679961.09590900000
4/17/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,26.00000000000,21.00000000000,se 35th circle,,0,7721211.12193000000,679860.47275100000
4/17/2012,GV,8.00000000000,Inline,Asphalt,910,Good,Working,Open,26.00000000000,3.00000000000,se 35th street,,-35,7721582.72224000000,680113.00243000000
4/3/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,30.00000000000,se pelton ave,,90,7721082.58511000000,680013.78871700000
4/3/2012,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,20.00000000000,34.00000000000,se pelton /se 34th circle intersection,,0,7721084.29180000000,680048.51666600000
4/3/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,28.00000000000,se pelton ave,,90,7721082.88104000000,680064.16689700000
10/3/2014,GV,6.00000000000,Hydrant,Asphalt,926,Good,Working,Open,22.00000000000,25.00000000000,se pelton ave /se evans,,90,7720824.39501000000,680726.27548100000
4/3/2012,GV,8.00000000000,Inline,Asphalt,926,Good,Working,Open,27.00000000000,26.00000000000,se pelton ave /se evans,,0,7720812.40094000000,680724.36734900000
4/3/2012,GV,4.00000000000,Inline,Asphalt,926,Good,Working,Open,15.00000000000,40.00000000000,se 34th circle /se pelton,,0,7721047.34568000000,680028.98028800000
4/3/2012,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,40.00000000000,se 34th circle,,0,7720826.43077000000,680030.86972000000
4/3/2012,GV,2.00000000000,Blow Off,Asphalt,926,Good,Working,Closed,8.00000000000,36.00000000000,se helen ct,,0,7720530.42546000000,679249.54024600000
